store_id;hub_id;store_name;store_segment;store_plan_price;store_latitude;store_longitude
616;18;CILAFIRMAI CIOLA ;FOOD;49;-2.294.733;-43.183.534
622;28;PASCIAMO ;FOOD;49.9;-23.595.775;-46.685.984
623;28;SUPSIO ;FOOD;49.9;-23.595.775;-46.685.984
624;28;SPILUMI ;FOOD;49.9;-23.595.775;-46.685.984
626;28;MUMRIFAM ;GOOD;29.9;-23.595.775;-46.685.984
627;27;FAM RIRGUM ;GOOD;29.9;-23.622.995;-46.699.204
629;8;RIARI SIARI ;FOOD;;-22.921.475;-43.234.822
631;28;IUMPICA ;FOOD;;-23.595.775;-46.685.984
632;28;IPUPIEMAI ;FOOD;;-23.595.775;-46.685.984
633;21;ZIVIMUI ;GOOD;49.9;-23.550.407;-46.721.291
640;28;GRIME CRU ;GOOD;49;-23.595.775;-46.685.984
641;26;MUMRIFAM ;GOOD;29.9;-23.563.758;-46.652.621
644;13;USARULI DA SUA;FOOD;;-22.887.521;-43.283.366
646;21;PASCIAMU ;FOOD;49.9;-23.550.407;-46.721.291
648;27;PIPRU SUIM ;FOOD;49.9;-23.622.995;-46.699.204
651;27;SIZMUO RICAUMS ;FOOD;49.9;-23.622.995;-46.699.204
652;25;MUMRIFAM ;GOOD;29.9;-23.570.765;-46.642.043
656;3;IPALUPAES ;FOOD;0.01;-30.038.145;-5.120.352
657;21;RIGAC FAM ;GOOD;29.9;-23.550.407;-46.721.291
658;29;IUMPICA ;FOOD;;-23.561.053;-46.558.976
659;29;IPUPIEMAI ;FOOD;;-23.561.053;-46.558.976
660;16;FIRIFI CIRAICI ;FOOD;49;-22.989.451;-43.433.223
661;20;RA VACAI EUSEU I AMACAI ;FOOD;49;-22.996.848;-43.361.197
666;25;RIZI ;FOOD;49.9;-23.570.765;-46.642.043
669;29;PUPALUGALA;FOOD;49.9;-23.561.053;-46.558.976
673;18;MIZPIZ ;FOOD;49;-22.950.331;-43.184.893
674;29;AR TRAMUO ;FOOD;49.9;-23.561.053;-46.558.976
676;31;IUMPICA ;FOOD;;-23.631.835;-46.735.203
678;18;MZU PIUI ;FOOD;49;-22.949.561;-43.185.022
679;18;ZIRIE ;FOOD;49;-2.294.733;-43.183.534
681;5;CISI DA POI EU QUASI ;FOOD;49.9;-23.003.717;-43.317.444
682;25;MISMO GRALA;FOOD;49.9;-23.570.765;-46.642.043
